nom_standard,F18-24,population,POURCENTAGE_ETUDIANTS
Chaponnay,854.0,4411,19.360689186125597
La Ville-aux-Dames,1083.0,5593,19.363490076881817
Saint-Genis-Pouilly,2764.0,14274,19.363878380271824
Murviel-lès-Béziers,603.0,3112,19.376606683804628
Le Grand-Lemps,598.0,3084,19.39040207522698
Chelles,10638.0,54845,19.396480991886225
Étaples,2098.0,10813,19.402570979376677
Saint-Martin-de-Crau,2594.0,13364,19.4103561807842
Soucieu-en-Jarrest,896.0,4613,19.423368740515933
Rosières-en-Santerre,584.0,3005,19.434276206322796
Val de Briey,1564.0,8041,19.45031712473573
Ham-sous-Varsberg,557.0,2862,19.461914744933612
Bannalec,1102.0,5656,19.483734087694486
Carignan,561.0,2875,19.51304347826087
Rians,1032.0,5274,19.56769055745165
Vallauris,5476.0,27970,19.57811941365749
Mesnil-Roc'h,859.0,4387,19.580578983359928
Latour-Bas-Elne,629.0,3210,19.595015576323988
Corte,1482.0,7549,19.63173930321897
Moréac,727.0,3703,19.63273021874156
Hagondange,1834.0,9332,19.65280754393485
Saint-Rambert-d'Albon,1343.0,6833,19.6546172984048
Terres-de-Haute-Charente,761.0,3867,19.67933798810447
Le Fenouiller,966.0,4897,19.72636307943639
Le Teich,1735.0,8794,19.72936092790539
Villefranche-de-Lauragais,958.0,4848,19.76072607260726
Montbrison,3159.0,15943,19.81433858119551
Clisson,1489.0,7507,19.83482083388837
Thézan-lès-Béziers,603.0,3040,19.835526315789473
Mertzwiller,670.0,3376,19.845971563981042
Condé-en-Normandie,1250.0,6296,19.85387547649301
Sorèze,584.0,2938,19.877467665078285
Farébersviller,1077.0,5406,19.922308546059934
Saint-Saturnin-lès-Apt,580.0,2910,19.93127147766323
Feurs,1665.0,8352,19.935344827586206
Langeais,867.0,4349,19.935617383306507
Cléder,725.0,3635,19.944979367262725
Divatte-sur-Loire,1410.0,7042,20.02272081794945
Longeville-lès-Saint-Avold,727.0,3627,20.04411359250069
Bournezeau,688.0,3431,20.052462838822503
Seillons-Source-d'Argens,507.0,2526,20.071258907363422
Anizy-le-Grand,520.0,2587,20.100502512562816
Château-Landon,608.0,3020,20.132450331125828
Florange,2404.0,11939,20.135689756260994
Saint-Maurice-de-Beynost,820.0,4066,20.16724053123463
Vonnas,646.0,3198,20.20012507817386
Montrevault-sur-Èvre,3179.0,15732,20.207220950928047
Arsac,784.0,3873,20.24270591272915
Bas-en-Basset,905.0,4461,20.286931181349473
Villers-sur-Mer,509.0,2507,20.303151176705224
Drusenheim,1070.0,5254,20.365435858393603
Sauvagnon,706.0,3460,20.404624277456648
Champigneulles,1354.0,6633,20.413086084727876
Loctudy,813.0,3980,20.427135678391963
Bolbec,2365.0,11551,20.474417799324733
Dagneux,979.0,4765,20.54564533053515
Montfrin,647.0,3149,20.546205144490315
Plouescat,725.0,3522,20.584894946053378
Sainte-Livrade-sur-Lot,1337.0,6487,20.610451672575923
Laruscade,582.0,2821,20.630981921304503
Villelaure,680.0,3295,20.637329286798177
Gouesnach,574.0,2781,20.640057533261416
Mur-sur-Allier,685.0,3313,20.676124358587384
Frouard,1354.0,6543,20.69387131285343
Morannes sur Sarthe-Daumeray,760.0,3669,20.714091032979013
Gambsheim,1070.0,5164,20.72037180480248
Saint-Just-Saint-Rambert,3159.0,15239,20.72970667366625
Saint-Mars-d'Outillé,508.0,2450,20.73469387755102
Estaires,1349.0,6501,20.750653745577605
Vertaizon,685.0,3301,20.751287488639804
Forges-les-Eaux,779.0,3750,20.773333333333333
Picauville,676.0,3251,20.79360196862504
Avranches,2137.0,10277,20.794006032888976
Mandelieu-la-Napoule,4540.0,21772,20.852471063751608
Cruas,640.0,3069,20.853698273053112
Saint-Martin-en-Haut,805.0,3860,20.854922279792746
