NOM,EPCI,F18-24
Saint-Rambert-en-Bugey,240100883,73
Saint-Rémy,200071751,21
Saint-Sorlin-en-Bugey,240100883,25
Saint-Sulpice,200071751,7
Saint-Trivier-de-Courtes,200071751,26
Saint-Trivier-sur-Moignans,200069193,66
Saint-Vulbas,240100883,22
Salavre,200071751,4
Samognat,200042935,15
Sandrans,200069193,19
Sault-Brénaz,240100883,44
Sauverny,240100750,36
Savigneux,200042497,34
Ségny,240100750,65
Seillonnaz,240100883,5
Sergy,240100750,46
Sermoyer,200071371,10
Serrières-de-Briord,240100883,41
Serrières-sur-Ain,200029999,1
Servas,200071751,39
Servignat,200071751,4
Seyssel,200070852,35
Simandre-sur-Suran,200071751,20
Sonthonnax-la-Montagne,200042935,3
Souclin,240100883,13
Sulignat,200069193,16
Talissieu,200040350,12
Tenay,240100883,25
Thil,240100800,37
Thoiry,240100750,145
Thoissey,200070118,77
Torcieu,240100883,18
Tossiat,200071751,22
Toussieux,200042497,43
Tramoyes,240100800,55
La Tranclière,200071751,8
Val-Revermont,200071751,61
Trévoux,200042497,231
Valeins,200069193,6
Vandeins,200071751,18
Varambon,200029999,10
Vaux-en-Bugey,240100883,34
Verjon,200071751,10
Vernoux,200071751,11
Versailleux,200069193,9
Versonnex,240100750,67
Vesancy,240100750,11
Vescours,200071751,0
Vésines,200071371,1
Vieu-d'Izenave,200042935,18
Villars-les-Dombes,200069193,169
Villebois,240100883,27
Villemotier,200071751,15
Villeneuve,200042497,58
Villereversure,200071751,36
Villes,240100891,9
Villette-sur-Ain,200069193,16
Villieu-Loyes-Mollon,240100883,110
Viriat,200071751,227
Virieu-le-Grand,200040350,48
Arvière-en-Valromey,200040350,11
Virignin,200040350,27
Vongnes,200040350,2
Vonnas,200070555,118
Abbécourt,200071785,12
Achery,200071785,28
Acy,240200477,26
Agnicourt-et-Séchelles,240200469,5
Aguilcourt,240200576,7
Aisonville-et-Bernoville,200071983,7
Aizelles,240200592,8
Aizy-Jouy,240200501,6
Alaincourt,200040426,8
Allemant,240200501,3
Ambleny,200071991,38
Ambrief,240200519,1
Amifontaine,240200576,8
Amigny-Rouy,200071785,13
Ancienville,200071991,1
Andelain,200071785,3
Anguilcourt-le-Sart,200071785,8
Anizy-le-Grand,200071769,93
Annois,200071892,11
Any-Martin-Rieux,240200600,6
Archon,240200634,4
Arcy-Sainte-Restitue,240200519,9
Armentières-sur-Ourcq,200072031,2
Arrancy,200043495,0
Artemps,200071892,13
Assis-sur-Serre,240200469,10
Athies-sous-Laon,200043495,58
Attilly,240200493,5
Aubencheul-aux-Bois,240200493,7
Aubenton,240200600,16
Aubigny-aux-Kaisnes,200071892,9
Aubigny-en-Laonnois,240200592,3
Audignicourt,200071991,3
Audigny,200071983,5
Augy,240200501,2
Aulnois-sous-Laon,200043495,37
Les Autels,240200634,2
Autremencourt,240200469,11
Autreppes,240200444,5
Autreville,200071785,19
Azy-sur-Marne,200072031,13
Bagneux,240200477,1
Bancigny,240200444,0
Barenton-Bugny,240200469,16
Barenton-Cel,240200469,4
Barenton-sur-Serre,240200469,5
Barisis-aux-Bois,200071769,18
Barzy-en-Thiérache,240200444,10
Barzy-sur-Marne,200072031,8
Bassoles-Aulers,200071769,3
Vallées en Champagne,200072031,13
Bazoches-et-Saint-Thibaut,240200501,17
Beaumé,240200600,2
Beaumont-en-Beine,200071785,5
Beaurevoir,240200493,53
Beaurieux,240200592,17
Beautor,200071785,92
Beauvois-en-Vermandois,240200493,8
Becquigny,240200493,8
Belleau,200072031,3
Bellenglise,240200493,11
Belleu,240200477,116
Bellicourt,240200493,20
Benay,200040426,5
Bergues-sur-Sambre,240200444,4
Berlancourt,240200444,0
Berlise,240200634,1
Bernot,200071983,13
Berny-Rivière,200071991,20
Berrieux,240200592,1
Berry-au-Bac,240200576,15
Bertaucourt-Epourdon,200071785,14
Berthenicourt,200040426,2
Bertricourt,240200576,1
Besmé,200071769,7
Besmont,240200600,2
Besny-et-Loizy,200043495,10
Béthancourt-en-Vaux,200071785,18
Beugneux,240200519,1
Beuvardes,200072031,20
Bézu-le-Guéry,240200584,3
Bézu-Saint-Germain,200072031,22
Bichancourt,200071785,30
Bieuxy,200071991,0
Bièvres,200043495,0
Billy-sur-Aisne,240200477,28
Billy-sur-Ourcq,240200519,8
Blanzy-lès-Fismes,240200501,0
Blérancourt,200071769,44
Blesmes,200072031,10
Bohain-en-Vermandois,240200493,223
Bois-lès-Pargny,240200469,3
Boncourt,240200576,2
Bonneil,200072031,9
Bonnesvalyn,200072031,8
Bony,240200493,7
Bosmont-sur-Serre,240200469,3
Bouconville-Vauclair,240200592,4
Boué,240200444,50
Bouffignereux,240200576,2
Bouresches,200072031,2
Bourg-et-Comin,240200592,26
Bourguignon-sous-Coucy,200071769,2
Bourguignon-sous-Montbavin,200071769,3
La Bouteille,240200444,11
Braine,240200501,78
Brancourt-en-Laonnois,200071769,36
Brancourt-le-Grand,240200493,18
Brasles,200072031,48
Braye-en-Laonnois,240200592,7
Braye-en-Thiérache,240200444,2
Bray-Saint-Christophe,200071892,6
Braye,240200501,3
Brécy,200072031,8
Brenelle,240200501,5
Breny,240200519,5
Brie,200071785,0
Brissay-Choigny,200040426,7
Brissy-Hamégicourt,200040426,17
Brumetz,200072031,9
Brunehamel,240200634,6
Bruyères-sur-Fère,200072031,5
Bruyères-et-Montbérault,200043495,44
Bruys,240200501,0
Bucilly,240200600,2
Bucy-le-Long,240200501,50
Bucy-lès-Cerny,200043495,1
Bucy-lès-Pierrepont,240200576,18
Buire,240200600,21
Buironfosse,240200444,25
Burelles,240200444,5
Bussiares,200072031,8
Buzancy,240200519,3
Caillouël-Crépigny,200071785,11
Camelin,200071769,9
La Capelle,240200444,56
Castres,200071892,9
Le Catelet,240200493,4
Caulaincourt,240200493,3
Caumont,200071785,11
Celles-lès-Condé,200072031,2
Celles-sur-Aisne,240200501,7
Cerizy,200040426,2
Cerny-en-Laonnois,200043495,1
Cerny-lès-Bucy,200043495,3
Cerseuil,240200501,4
Cessières-Suzy,200043495,13
Chacrise,240200519,5
Chaillevois,200071769,3
Chalandry,240200469,6
Chambry,200043495,19
Chamouille,200043495,12
Champs,200071769,11
Chaourse,240200634,10
La Chapelle-sur-Chézy,240200584,2
Charly-sur-Marne,240200584,73
Le Charmel,200072031,9
Charmes,200071785,51
Chartèves,200072031,7
Chassemy,240200501,21
Château-Thierry,200072031,633
Châtillon-lès-Sons,240200469,1
Châtillon-sur-Oise,200040426,3
Chaudardes,240200576,3
Chaudun,240200519,10
Chauny,200071785,504
Chavignon,240200501,23
Chavigny,240200477,5
Chavonne,240200501,4
Chérêt,200043495,0
Chermizy-Ailles,240200592,2
Chéry-Chartreuve,240200501,7
Chéry-lès-Pouilly,240200469,25
Chéry-lès-Rozoy,240200634,2
Chevennes,240200444,7
Chevregny,240200592,4
Chevresis-Monceau,200040426,3
Chézy-en-Orxois,200072031,9
Chézy-sur-Marne,240200584,31
Chierry,200072031,26
Chigny,200071983,3
Chivres-en-Laonnois,240200576,11
Chivres-Val,240200501,11
Chivy-lès-Étouvelles,200043495,18
Chouy,200071991,2
Cierges,200072031,3
Cilly,240200469,2
Ciry-Salsogne,240200501,17
Clacy-et-Thierret,200043495,8
Clairfontaine,240200444,35
Clamecy,240200501,6
Clastres,200071892,15
Clermont-les-Fermes,240200634,4
Cœuvres-et-Valsery,200071991,9
Coincy,200072031,46
Coingt,240200600,1
Colligis-Crandelain,200043495,6
Colonfay,240200444,1
Commenchon,200071785,9
Concevreux,240200576,10
Condé-en-Brie,200072031,23
Condé-sur-Aisne,240200501,8
Condé-sur-Suippe,240200576,5
Condren,200071785,30
Connigis,200072031,16
Contescourt,200071892,1
Corbeny,240200592,29
Corcy,200071991,6
Coucy-le-Château-Auffrique,200071769,25
Coucy-lès-Eppes,240200576,17
Coucy-la-Ville,200071769,12
Coulonges-Cohan,200072031,5
Coupru,240200584,3
Courbes,200071785,0
Courboin,200072031,7
Courcelles-sur-Vesle,240200501,15
Courchamps,200072031,3
Courmelles,240200477,47
Courmont,200072031,1
Courtemont-Varennes,200072031,7
Courtrizy-et-Fussigny,240200576,2
Couvrelles,240200501,2
Couvron-et-Aumencourt,240200469,20
Coyolles,200071991,14
Cramaille,240200519,1
Craonne,240200592,3
Craonnelle,240200592,3
Crécy-au-Mont,200071769,5
Crécy-sur-Serre,240200469,62
Crépy,200043495,52
Crézancy,200072031,57
Croix-Fonsomme,240200493,2
La Croix-sur-Ourcq,200072031,4
Crouttes-sur-Marne,240200584,15
Crouy,240200477,109
Crupilly,200071983,2
Cuffies,240200477,134
Cugny,200071892,16
Cuirieux,240200469,6
Cuiry-Housse,240200519,2
Cuiry-lès-Chaudardes,240200592,2
Cuiry-lès-Iviers,240200634,1
Cuissy-et-Geny,240200592,0
Cuisy-en-Almont,240200477,12
Cutry,200071991,3
Cys-la-Commune,240200501,2
Dagny-Lambercy,240200634,2
Dallon,200071892,6
Dammard,200071991,10
Dampleux,200071991,13
Danizy,200071785,14
Dercy,240200469,12
Deuillet,200071785,6
Dhuizel,240200501,4
Dizy-le-Gros,240200634,24
Dohis,240200634,2
Dolignon,240200634,3
Dommiers,200071991,5
Domptin,240200584,17
Dorengt,240200444,3
Douchy,240200493,8
Dravegny,200072031,4
Droizy,240200519,5
Dury,200071892,6
Ébouleau,240200576,6
Effry,240200600,9
Englancourt,240200444,1
Épagny,200071991,12
Éparcy,240200600,2
Épaux-Bézu,200072031,14
Épieds,200072031,12
L'Épine-aux-Bois,240200584,9
Eppes,200043495,15
Erlon,240200469,10
Erloy,240200444,1
Esquéhéries,240200444,23
Essigny-le-Grand,200040426,18
Essigny-le-Petit,200071892,8
Essises,240200584,16
Essômes-sur-Marne,200072031,90
Estrées,240200493,10
Étampes-sur-Marne,200072031,38
Étaves-et-Bocquiaux,240200493,15
Étouvelles,200043495,6
Étréaupont,240200444,27
Étreillers,240200493,28
Étrépilly,200072031,5
Étreux,200071983,63
Évergnicourt,240200576,8
Faverolles,200071991,12
Fayet,200071892,12
La Fère,200071785,166
Fère-en-Tardenois,200072031,111
La Ferté-Chevresis,200040426,17
La Ferté-Milon,200071991,69
Fesmy-le-Sart,240200444,12
Festieux,200043495,22
Fieulaine,200071892,10
Filain,240200501,3
La Flamengrie,240200444,36
Flavigny-le-Grand-et-Beaurain,200071983,20
Flavy-le-Martel,200071892,34
Fleury,200071991,3
Fluquières,240200493,4
Folembray,200071769,41
Fonsomme,200071892,19
Fontaine-lès-Clercs,200071892,8
Fontaine-lès-Vervins,240200444,24
Fontaine-Notre-Dame,200071892,9
Fontaine-Uterte,240200493,3
Fontenelle,240200444,8
Fontenoy,200071991,9
Foreste,240200493,6
Fossoy,200072031,13
Fourdrain,200071785,14
Francilly-Selency,240200493,21
Franqueville,240200444,1
Fresnes-en-Tardenois,200072031,7
Fresnes-sous-Coucy,200071769,6
Fresnoy-le-Grand,240200493,116
Fressancourt,200071785,3
Frières-Faillouël,200071785,28
Froidestrées,240200444,4
Froidmont-Cohartille,240200469,7
Gandelu,200072031,13
Gauchy,200071892,165
Gercy,240200444,9
Gergny,240200444,6
Germaine,240200493,4
Gibercourt,200040426,1
Gizy,240200576,21
Gland,200072031,15
Goudelancourt-lès-Berrieux,240200592,1
Goudelancourt-lès-Pierrepont,240200576,3
Goussancourt,200072031,3
Gouy,240200493,13
Grandlup-et-Fay,240200469,8
Grandrieux,240200634,1
Gricourt,240200493,26
Grisolles,200072031,5
Gronard,240200444,0
Grougis,200071983,7
Grugies,200071892,25
Villeneuve-sur-Aisne,240200576,60
Guise,200071983,184
Guivry,200071785,9
Guny,200071769,9
Guyencourt,240200576,8
Hannapes,200071983,4
Happencourt,200071892,5
Haramont,200071991,20
Harcigny,240200444,2
Hargicourt,240200493,11
Harly,200071892,39
Hartennes-et-Taux,240200519,9
Hary,240200444,6
Lehaucourt,240200493,31
Hautevesnes,200072031,6
Hauteville,200071983,5
Haution,240200444,1
La Hérie,240200600,2
Le Hérie-la-Viéville,240200444,11
Hinacourt,200040426,0
Hirson,240200600,340
Holnon,240200493,24
Homblières,200071892,44
Houry,240200444,1
Housset,240200444,5
Iron,200071983,7
Itancourt,200040426,14
Iviers,240200600,4
Jaulgonne,200072031,12
Jeancourt,240200493,5
Jeantes,240200600,3
Joncourt,240200493,9
Jouaignes,240200501,1
Jumencourt,200071769,3
Jumigny,240200592,1
Jussy,200071892,41
Juvigny,240200477,8
Juvincourt-et-Damary,240200576,14
Laffaux,240200501,5
Laigny,240200444,6
Lanchy,240200493,1
Landifay-et-Bertaignemont,240200444,2
Landouzy-la-Cour,240200444,8
Landouzy-la-Ville,240200600,16
Landricourt,200071769,5
Laniscourt,200043495,6
Laon,200043495,1176
Lappion,240200576,9
Largny-sur-Automne,200071991,10
Latilly,200072031,7
Launoy,240200519,0
Laval-en-Laonnois,200043495,6
Lavaqueresse,200071983,4
Laversine,200071991,4
Lemé,240200444,8
Lempire,240200493,2
Lerzy,240200444,5
Leschelle,240200444,14
Lesdins,200071892,26
Lesges,240200501,4
Lesquielles-Saint-Germain,200071983,24
Leuilly-sous-Coucy,200071769,7
Leury,240200477,2
Leuze,240200600,6
Levergies,240200493,17
Lhuys,240200501,2
Licy-Clignon,200072031,3
Lierval,200043495,1
Liesse-Notre-Dame,240200576,53
Liez,200071785,6
Limé,240200501,8
Lislet,240200634,2
Logny-lès-Aubenton,240200600,6
Longpont,200071991,6
Les Septvallons,240200501,33
