INSEE;NOM;EPCI;DEP;REG;F0-2;F3-5;F6-10;F11-17;F18-24;F25-39;F40-54;F55-64;F65-79;F80+;;H0-2;H3-5;H6-10;H11-17;H18-24;H25-39;H40-54;H55-64;H65-79;H80+
54374;Moncel-sur-Seille;200070589;D54;R44;7;16;14;24;16;51;51;36;39;7;;8;15;21;22;17;45;56;31;43;3
54375;Montauville;200041515;D54;R44;15;12;32;46;29;95;110;76;92;34;;16;22;27;41;48;96;131;63;74;28
54376;Montenoy;245400601;D54;R44;4;7;13;17;13;33;46;35;28;9;;10;11;19;11;12;32;41;27;33;8
54377;Montigny;200069433;D54;R44;1;1;5;8;5;10;14;20;12;3;;5;3;4;3;10;11;13;12;13;3
54378;Montigny-sur-Chiers;200043693;D54;R44;5;9;15;20;8;35;57;28;42;8;;10;7;13;26;9;35;65;29;40;9
54379;Mont-l'Étroit;245400510;D54;R44;3;0;4;1;4;6;6;7;8;3;;2;1;5;9;3;7;10;7;9;2
54380;Mont-le-Vignoble;245400510;D54;R44;5;5;15;20;9;33;42;37;22;9;;7;11;17;19;8;29;41;32;35;8
54381;Montreux;200069433;D54;R44;0;1;3;1;1;3;6;3;6;2;;0;0;2;4;1;3;8;4;5;2
54382;Mont-Saint-Martin;245400262;D54;R44;174;198;323;430;332;902;903;558;540;279;;178;195;351;470;332;847;913;441;456;198
54383;Mont-sur-Meurthe;200067643;D54;R44;14;24;26;59;31;93;115;71;81;28;;21;16;45;52;34;109;126;69;94;13
54385;Morfontaine;245400262;D54;R44;13;10;56;52;28;93;146;73;53;18;;24;23;36;54;45;94;138;69;47;11
54386;Moriviller;200067643;D54;R44;1;0;0;8;2;5;10;6;8;2;;1;1;4;5;6;5;11;7;8;3
54387;Morville-sur-Seille;200041515;D54;R44;2;6;5;4;4;17;15;8;7;2;;5;7;4;5;4;18;17;9;12;2
54388;Mouacourt;245400759;D54;R44;0;1;1;2;3;4;5;5;5;6;;2;3;4;6;1;6;3;8;2;7
54389;Mouaville;200070845;D54;R44;0;3;4;7;1;8;18;3;3;2;;1;0;2;9;4;7;12;7;5;2
54390;Mousson;200041515;D54;R44;1;1;3;2;2;8;7;9;13;4;;1;2;4;6;2;6;10;8;12;1
54391;Moutiers;200070845;D54;R44;20;21;47;66;44;127;141;119;140;107;;23;19;40;47;40;143;136;125;116;47
54392;Moutrot;245400510;D54;R44;6;9;9;15;5;26;39;22;14;8;;8;4;6;21;19;30;31;25;11;5
54393;Moyen;200070324;D54;R44;5;8;14;19;10;50;58;25;31;15;;11;11;12;32;24;64;59;39;37;12
54394;Murville;200070290;D54;R44;5;4;4;9;4;12;25;24;24;8;;3;8;6;9;7;21;29;17;21;4
54395;Nancy;245400676;D54;R44;1294;1256;2072;2912;13773;10994;7991;5127;5900;3472;;1358;1431;2203;3283;11469;11996;7697;4488;4195;1492
54396;Neufmaisons;200069433;D54;R44;1;0;3;10;4;10;21;10;15;8;;0;4;7;8;54;12;23;12;17;6
54397;Neuves-Maisons;245400171;D54;R44;100;110;189;257;268;570;652;508;504;316;;118;99;178;296;231;557;631;450;443;153
54398;Neuviller-lès-Badonviller;200069433;D54;R44;2;1;3;4;1;8;10;3;7;3;;3;3;4;7;2;7;11;5;8;2
54399;Neuviller-sur-Moselle;200035772;D54;R44;5;6;6;9;11;20;29;13;21;6;;6;7;11;9;7;20;32;11;17;3
54400;Nomeny;200070589;D54;R44;10;22;43;54;30;91;128;78;85;44;;18;21;30;63;32;89;120;78;84;19
54401;Nonhigny;200069433;D54;R44;3;3;5;5;1;12;11;5;11;2;;2;3;11;6;3;13;12;7;6;1
54402;Norroy-le-Sec;200070845;D54;R44;6;10;10;25;10;37;45;19;35;11;;5;11;17;20;11;34;49;21;27;10
54403;Norroy-lès-Pont-à-Mousson;200041515;D54;R44;14;19;35;53;31;86;142;89;94;40;;17;21;29;56;41;85;134;97;86;19
54404;Noviant-aux-Prés;200070563;D54;R44;7;8;12;16;9;31;26;5;15;2;;5;12;8;16;9;22;38;11;10;2
54405;Ochey;245400510;D54;R44;15;12;29;26;13;66;46;22;19;3;;15;13;26;39;16;67;49;30;13;5
54406;Ogéviller;200069433;D54;R44;6;8;8;14;5;26;23;17;25;8;;4;8;12;17;4;24;26;19;19;6
54407;Ognéville;200035772;D54;R44;2;3;2;5;1;7;8;7;9;5;;0;0;2;6;3;6;10;9;8;4
54408;Olley;200070845;D54;R44;3;3;11;15;6;12;27;14;12;7;;0;5;4;20;10;14;34;12;12;5
54409;Omelmont;200035772;D54;R44;2;6;6;16;5;15;20;13;14;5;;4;2;5;10;6;17;19;8;18;2
54410;Onville;200070738;D54;R44;5;12;28;23;7;52;44;35;24;48;;10;9;10;22;19;55;48;23;23;20
54411;Ormes-et-Ville;200035772;D54;R44;1;2;3;9;6;14;30;15;17;9;;4;2;0;14;6;12;27;22;23;5
54412;Othe;200043693;D54;R44;1;1;1;1;1;3;2;2;6;1;;0;2;1;0;0;5;6;1;2;1
54413;Ozerailles;200070845;D54;R44;5;0;3;6;4;15;15;9;4;4;;3;6;7;11;5;13;21;14;4;2
54414;Pagney-derrière-Barine;200070563;D54;R44;15;7;14;30;19;55;72;45;42;23;;4;17;32;33;24;44;83;39;42;13
54415;Pagny-sur-Moselle;200041515;D54;R44;50;55;132;185;117;329;416;281;371;130;;50;64;116;232;147;325;398;265;310;78
54416;Pannes;200070738;D54;R44;2;0;6;7;3;18;19;7;9;9;;3;6;9;10;9;20;20;12;9;4
54417;Parey-Saint-Césaire;200035772;D54;R44;3;2;6;13;6;22;22;19;19;8;;4;5;10;13;7;22;16;14;22;6
