INSEE;NOM;EPCI;DEP;REG;F0-2;F3-5;F6-10;F11-17;F18-24;F25-39;F40-54;F55-64;F65-79;F80+;;H0-2;H3-5;H6-10;H11-17;H18-24;H25-39;H40-54;H55-64;H65-79;H80+
23062;Chéniers;242320109;D23;R75;5;3;11;26;4;35;49;54;57;36;;5;9;10;17;12;38;51;47;73;17
23063;Clairavaux;200066744;D23;R75;2;2;2;3;3;12;13;8;20;10;;2;2;3;2;3;14;17;12;20;5
23064;Clugnat;200067544;D23;R75;5;11;19;24;13;47;60;58;68;28;;5;5;13;20;14;48;60;56;72;27
23065;Colondannes;242320109;D23;R75;5;6;8;9;8;18;20;23;30;15;;4;4;5;13;4;22;28;22;20;13
23066;Le Compas;200067593;D23;R75;0;4;3;3;2;9;21;15;23;15;;1;1;4;8;3;12;19;15;21;15
23067;La Courtine;200066744;D23;R75;13;12;14;33;12;59;89;66;63;53;;13;12;18;25;11;60;101;67;54;24
23068;Cressat;200067544;D23;R75;6;4;15;16;12;36;44;46;46;34;;8;4;14;19;14;44;47;39;51;17
23069;Crocq;200067593;D23;R75;5;2;7;19;5;19;36;31;58;28;;2;5;9;18;6;20;39;30;51;12
23070;Crozant;242320109;D23;R75;4;1;3;4;2;19;29;48;66;46;;5;3;2;10;4;17;37;57;59;22
23071;Croze;200044014;D23;R75;0;1;7;8;3;15;16;23;17;9;;1;1;4;8;2;16;18;23;12;7
23072;Domeyrot;200067544;D23;R75;5;4;3;13;4;14;27;17;25;12;;2;5;4;11;2;17;26;14;19;9
23073;Dontreix;200067593;D23;R75;4;5;10;16;7;30;36;38;31;30;;2;2;9;20;14;35;41;36;36;15
23074;Le Donzeil;200067189;D23;R75;1;1;3;7;5;17;19;15;13;14;;2;1;2;10;7;14;24;11;18;4
23075;Dun-le-Palestel;242320109;D23;R75;10;11;19;32;19;50;103;81;141;141;;11;7;27;38;27;52;101;70;111;40
23076;Évaux-les-Bains;200067544;D23;R75;3;4;25;39;32;72;101;108;161;143;;16;14;37;38;29;58;107;111;135;64
23077;Faux-la-Montagne;200044014;D23;R75;10;8;15;19;3;45;38;26;39;10;;6;7;24;20;7;45;45;28;45;6
23078;Faux-Mazuras;200067189;D23;R75;1;6;7;4;3;15;21;14;15;8;;3;5;6;9;2;15;16;18;12;5
23079;Felletin;200044014;D23;R75;17;19;30;40;44;79;130;88;162;148;;9;15;34;53;179;87;136;91;127;61
23080;Féniers;200066744;D23;R75;3;3;5;1;2;10;6;6;11;6;;3;2;1;4;0;10;5;6;13;4
23081;Flayat;200067593;D23;R75;2;0;2;9;2;17;24;27;41;19;;1;2;7;9;4;18;24;34;42;13
23082;Fleurat;242320000;D23;R75;1;2;14;27;6;21;40;19;25;10;;2;2;5;13;9;25;40;24;25;3
23083;Fontanières;200067593;D23;R75;3;3;4;9;10;14;18;21;24;16;;5;5;4;9;9;20;25;22;21;6
23084;La Forêt-du-Temple;200041556;D23;R75;3;0;3;4;1;5;14;18;19;7;;0;1;3;7;1;7;11;14;23;2
23086;Fransèches;200067189;D23;R75;1;2;7;7;4;15;20;22;30;15;;4;6;4;2;4;13;21;23;35;7
23087;Fresselines;242320109;D23;R75;2;3;8;17;4;13;39;52;71;50;;3;2;3;10;10;7;38;59;61;34
23088;Gartempe;200034825;D23;R75;1;1;4;1;7;6;16;8;8;13;;1;2;4;3;4;9;8;11;6;3
23089;Genouillac;200041556;D23;R75;9;10;14;29;17;53;70;62;61;47;;8;14;26;29;9;52;65;61;73;17
23090;Gentioux-Pigerolles;200044014;D23;R75;6;5;11;15;1;34;41;26;23;15;;5;9;12;11;8;30;60;35;24;7
23091;Gioux;200044014;D23;R75;0;5;4;8;2;12;14;13;11;12;;2;2;7;8;3;8;23;18;8;4
23092;Glénic;200034825;D23;R75;14;8;18;31;14;59;70;45;49;28;;7;15;23;34;14;57;80;58;43;18
23093;Gouzon;200067544;D23;R75;14;16;39;60;33;106;142;110;155;157;;14;18;36;60;40;103;147;108;143;69
23095;Le Grand-Bourg;242320000;D23;R75;11;15;35;40;34;92;99;96;128;52;;18;16;41;51;38;94;101;93;129;25
23096;Guéret;200034825;D23;R75;135;161;312;466;524;1052;1272;999;1226;702;;155;164;277;488;594;1054;1126;747;935;309
23097;Issoudun-Létrieix;200067593;D23;R75;2;4;6;8;3;19;30;21;25;20;;4;7;11;14;5;19;30;34;17;16
23098;Jalesches;200041556;D23;R75;3;2;2;2;2;5;5;8;11;9;;0;3;1;1;0;4;11;9;8;4
23099;Janaillat;200067189;D23;R75;1;2;10;10;8;10;36;27;39;19;;2;2;3;21;10;12;31;30;31;14
23100;Jarnages;200067544;D23;R75;8;5;16;14;8;38;37;39;47;21;;5;4;8;16;11;39;43;23;43;11
23101;Jouillat;200034825;D23;R75;4;4;7;12;9;26;43;28;39;23;;3;4;7;16;14;26;40;30;31;16
23102;Ladapeyre;200067544;D23;R75;5;7;11;18;3;34;29;21;29;16;;6;10;7;11;4;27;36;34;26;12
23103;Lafat;242320109;D23;R75;3;3;5;6;8;13;31;31;47;20;;0;1;2;7;5;19;30;26;54;12
23104;Lavaufranche;200067544;D23;R75;3;1;1;10;6;16;23;21;26;16;;1;1;6;14;5;11;23;23;25;7
23105;Lavaveix-les-Mines;200067593;D23;R75;7;6;14;23;20;23;55;59;89;44;;3;6;14;20;17;32;48;54;74;27
23106;Lépaud;200067544;D23;R75;2;3;9;17;11;32;41;23;23;16;;4;3;16;21;13;26;44;28;25;9
23107;Lépinas;200067189;D23;R75;0;0;3;1;2;5;9;6;21;10;;1;1;2;3;2;4;10;20;22;7
23108;Leyrat;200067544;D23;R75;1;0;7;5;0;9;10;18;13;3;;3;4;4;7;4;4;16;13;15;7
23109;Linard-Malval;200041556;D23;R75;3;1;2;2;4;11;16;21;25;17;;2;0;5;10;3;12;12;26;32;7
23110;Lioux-les-Monges;200067593;D23;R75;2;2;2;3;1;7;3;1;8;2;;1;1;3;3;2;4;7;1;7;1
23111;Lizières;242320000;D23;R75;6;2;4;10;3;14;21;16;23;19;;3;2;1;15;3;19;23;21;20;15
23112;Lourdoueix-Saint-Pierre;200041556;D23;R75;7;6;11;18;10;41;56;76;98;56;;4;3;18;21;10;28;74;72;93;31
23113;Lupersat;200067593;D23;R75;2;6;4;5;3;21;27;25;30;17;;1;3;9;12;1;26;31;29;36;13
23114;Lussat;200067544;D23;R75;4;1;10;13;6;26;38;45;36;29;;5;7;7;9;11;34;42;38;32;13
23115;Magnat-l'Étrange;200066744;D23;R75;3;5;5;11;4;14;26;16;25;11;;4;5;11;5;7;12;31;17;30;5
23116;Mainsat;200067593;D23;R75;3;11;9;9;5;18;42;48;64;72;;1;6;12;17;8;28;48;42;64;34
23117;Maison-Feyne;242320109;D23;R75;2;2;9;10;13;15;37;20;33;11;;3;5;4;16;5;18;33;23;31;8
23118;Maisonnisses;200067189;D23;R75;1;2;4;7;3;11;21;16;15;15;;2;0;3;9;5;7;22;11;19;5
23119;Malleret;200066744;D23;R75;1;2;0;1;0;2;3;4;1;4;;0;0;0;2;1;2;7;7;3;4
23120;Malleret-Boussac;200067544;D23;R75;2;0;2;5;3;7;18;19;12;16;;0;2;0;8;5;13;17;23;21;9
23122;Mansat-la-Courrière;200067189;D23;R75;1;0;1;3;3;6;7;9;6;4;;0;0;0;1;0;5;4;12;4;4
23123;Les Mars;200067593;D23;R75;3;0;4;7;1;15;16;10;24;14;;1;5;4;6;3;9;18;13;20;10
23124;Marsac;242320000;D23;R75;4;14;15;21;6;36;57;39;83;69;;6;4;12;26;17;33;50;40;68;40
23125;Le Mas-d'Artige;200066744;D23;R75;1;1;2;5;1;5;5;9;10;6;;0;5;2;6;4;7;9;9;7;5
23127;Mautes;200067593;D23;R75;0;4;4;7;2;9;16;16;20;12;;2;6;6;7;4;11;20;16;30;6
23128;Mazeirat;200034825;D23;R75;2;0;3;12;0;8;15;9;12;6;;1;2;4;2;1;5;15;9;12;8
23129;La Mazière-aux-Bons-Hommes;200067593;D23;R75;3;0;2;2;1;4;7;4;10;2;;0;1;2;3;0;5;6;4;7;2
23130;Méasnes;200041556;D23;R75;3;4;13;21;6;25;46;50;70;30;;4;10;10;11;17;26;52;52;59;20
23131;Mérinchal;200067593;D23;R75;7;6;15;23;18;42;67;52;79;49;;4;6;6;23;16;42;66;68;66;26
23132;Montaigut-le-Blanc;200034825;D23;R75;4;9;14;20;8;23;33;36;32;23;;2;9;7;12;10;25;41;33;38;18
23133;Montboucher;200067189;D23;R75;6;6;10;9;7;32;29;42;37;11;;2;4;12;9;10;24;29;32;32;10
23134;Le Monteil-au-Vicomte;200067189;D23;R75;3;1;8;4;7;12;17;16;22;25;;2;2;4;3;6;12;19;10;26;15
23136;Mortroux;200041556;D23;R75;1;4;4;9;4;15;23;26;32;21;;2;4;8;9;7;16;24;24;31;9
23137;Mourioux-Vieilleville;242320000;D23;R75;8;4;19;12;7;43;37;43;64;25;;6;8;12;21;10;30;48;42;57;21
23138;Moutier-d'Ahun;200067189;D23;R75;2;1;5;5;2;15;13;13;19;4;;1;2;3;6;5;9;18;18;15;5
23139;Moutier-Malcard;200041556;D23;R75;3;1;4;9;12;25;46;54;65;33;;8;6;12;17;15;32;59;57;66;20
23140;Moutier-Rozeille;200044014;D23;R75;10;4;9;12;5;31;45;39;42;16;;3;6;16;18;8;26;39;36;48;11
23141;Naillat;242320109;D23;R75;1;13;20;15;16;37;68;37;74;37;;6;9;15;25;11;43;63;48;67;24
23142;Néoux;200044014;D23;R75;2;4;7;9;4;12;31;31;22;19;;3;4;6;11;9;11;32;27;31;6
23143;Noth;242300135;D23;R75;4;8;12;20;15;34;51;54;39;25;;6;4;10;14;6;31;61;43;41;12
23144;La Nouaille;200044014;D23;R75;2;1;4;9;4;14;16;24;30;13;;0;2;5;5;6;16;19;23;30;12
23145;Nouhant;200067544;D23;R75;5;4;3;7;10;17;23;22;25;24;;4;3;5;9;8;18;29;27;23;11
23146;Nouzerines;200067544;D23;R75;4;2;4;7;4;10;24;17;25;11;;1;3;5;7;9;13;22;21;35;13
23147;Nouzerolles;242320109;D23;R75;1;1;0;4;0;4;11;7;17;5;;0;2;1;6;1;5;11;6;11;4
23148;Nouziers;200041556;D23;R75;3;3;6;9;1;12;20;21;33;9;;3;1;5;4;6;11;31;21;38;12
23149;Parsac-Rimondeix;200067544;D23;R75;4;9;19;30;15;48;73;57;51;45;;12;10;16;26;13;52;74;68;60;29
23150;Peyrabout;200034825;D23;R75;4;1;5;5;2;15;12;7;14;10;;1;2;5;9;1;16;13;10;18;1
23151;Peyrat-la-Nonière;200067593;D23;R75;1;5;12;13;2;21;47;20;51;37;;4;3;15;22;13;24;42;36;48;13
23152;Pierrefitte;200067544;D23;R75;0;0;0;4;1;3;7;5;5;3;;0;1;2;3;1;8;12;6;8;2
23154;Pionnat;200067544;D23;R75;7;11;17;39;21;53;70;50;58;37;;10;5;26;41;20;57;64;60;58;25
23155;Pontarion;200067189;D23;R75;3;1;11;16;12;31;25;36;34;25;;3;5;10;11;8;28;27;35;31;13
23156;Pontcharraud;200067593;D23;R75;1;0;2;2;0;10;5;6;11;8;;0;2;3;1;1;7;6;7;4;7
23157;La Pouge;200067189;D23;R75;1;2;5;4;0;6;10;5;8;2;;1;2;2;3;3;6;12;6;17;1
23158;Poussanges;200066744;D23;R75;0;1;3;1;7;7;15;17;20;9;;3;0;3;4;1;12;10;16;18;8
23159;Puy-Malsignat;200067593;D23;R75;0;2;3;7;1;8;17;13;16;12;;0;1;3;3;8;9;22;12;8;7
23160;Reterre;200067593;D23;R75;6;5;3;5;4;18;25;20;25;18;;5;3;7;11;6;18;23;28;28;11
23162;Roches;200041556;D23;R75;7;8;10;8;7;23;30;22;43;20;;5;10;9;11;6;28;38;26;48;13
23164;Rougnat;200067593;D23;R75;4;8;9;21;10;29;45;26;57;36;;4;4;13;20;8;27;47;42;52;17
23165;Royère-de-Vassivière;200067189;D23;R75;7;6;17;12;9;31;53;34;82;69;;3;6;14;11;12;37;43;39;68;25
23166;Sagnat;242320109;D23;R75;1;4;3;8;3;4;27;16;22;10;;1;1;0;11;7;9;21;19;21;4
23167;Sannat;200067593;D23;R75;6;6;9;14;11;29;25;31;37;22;;3;5;6;9;5;21;28;27;32;14
23168;Sardent;200067189;D23;R75;11;11;20;20;13;63;67;73;76;43;;10;15;19;20;9;59;74;51;83;23
23169;La Saunière;200034825;D23;R75;17;16;22;33;10;61;67;49;42;14;;9;14;19;31;16;59;65;46;42;13
23170;Savennes;200034825;D23;R75;1;1;2;3;2;18;18;24;18;8;;6;3;8;9;1;19;24;20;19;9
23171;Sermur;200067593;D23;R75;0;1;2;1;1;9;5;12;10;7;;1;1;4;3;1;7;6;11;23;3
23172;La Serre-Bussière-Vieille;200067593;D23;R75;2;0;3;4;2;5;13;12;14;6;;1;0;2;7;6;3;14;13;13;2
23173;Soubrebost;200067189;D23;R75;1;2;3;4;3;6;15;11;12;9;;3;1;5;4;3;6;15;13;16;7
23174;Soumans;200067544;D23;R75;4;13;12;25;12;33;63;47;53;29;;5;7;12;17;18;37;66;43;59;23
23175;Sous-Parsat;200067189;D23;R75;0;1;4;4;1;5;12;10;16;4;;3;1;2;2;1;7;13;8;14;6
23176;La Souterraine;242300135;D23;R75;50;53;111;143;234;300;445;392;503;406;;56;48;104;190;233;329;418;342;391;205
23177;Saint-Agnant-de-Versillat;242300135;D23;R75;16;13;26;51;19;56;110;97;98;45;;10;11;24;57;27;66;131;96;100;34
23178;Saint-Agnant-près-Crocq;200067593;D23;R75;1;2;4;5;4;12;15;11;24;10;;6;4;2;2;8;12;17;11;18;5
23179;Saint-Alpinien;200044014;D23;R75;3;2;11;10;6;22;26;20;21;13;;6;6;3;9;9;20;34;24;24;13
23180;Saint-Amand;200044014;D23;R75;3;6;11;32;10;31;48;44;45;11;;3;6;10;23;15;24;57;32;51;13
23181;Saint-Amand-Jartoudeix;200067189;D23;R75;1;1;3;3;3;6;7;22;18;10;;2;0;2;1;4;7;21;16;23;8
23182;Saint-Avit-de-Tardes;200044014;D23;R75;0;2;8;3;0;10;17;22;12;9;;2;4;2;4;2;8;17;25;18;3
23183;Saint-Avit-le-Pauvre;200067189;D23;R75;4;3;3;0;1;8;3;5;10;7;;1;1;1;0;1;6;7;12;3;2
23184;Saint-Bard;200067593;D23;R75;1;0;4;4;2;6;9;7;9;5;;0;2;1;11;2;3;14;11;7;2
23185;Saint-Chabrais;200067593;D23;R75;0;2;10;5;2;22;20;23;35;20;;4;4;6;8;8;18;23;36;37;11
23186;Saint-Christophe;200034825;D23;R75;1;2;3;9;5;11;11;21;16;1;;3;2;2;4;4;12;10;15;20;2
23187;Saint-Dizier-la-Tour;200067593;D23;R75;0;0;5;5;3;5;25;19;17;18;;1;1;2;6;5;7;19;21;22;5
23188;Saint-Dizier-les-Domaines;200041556;D23;R75;2;2;4;7;0;11;17;21;21;13;;4;2;4;7;1;14;19;20;17;9
23189;Saint-Dizier-Masbaraud;200067189;D23;R75;8;10;34;42;13;70;105;91;116;70;;11;12;30;40;29;71;120;96;130;34
23190;Saint-Domet;200067593;D23;R75;2;3;9;3;1;11;11;17;19;9;;1;0;5;7;4;10;15;12;19;5
23191;Saint-Éloi;200034825;D23;R75;2;5;6;8;3;16;15;14;14;6;;2;2;8;9;2;15;14;16;18;5
23192;Fursac;242320000;D23;R75;13;20;28;37;26;84;114;129;133;153;;10;23;33;48;33;81;119;128;145;88
23193;Sainte-Feyre;200034825;D23;R75;28;34;62;107;48;171;268;217;228;129;;27;26;77;111;58;165;267;193;217;60
23194;Sainte-Feyre-la-Montagne;200044014;D23;R75;1;2;3;6;2;7;15;8;11;10;;0;0;0;6;4;9;10;19;8;2
23195;Saint-Fiel;200034825;D23;R75;22;23;35;49;22;96;122;94;64;18;;14;25;28;53;18;88;121;86;61;9
23196;Saint-Frion;200044014;D23;R75;11;1;6;18;2;27;20;12;19;12;;5;4;10;13;6;26;22;16;15;9
23197;Saint-Georges-la-Pouge;200067189;D23;R75;4;5;8;18;9;27;41;19;38;14;;4;3;17;19;9;26;37;20;38;13
23198;Saint-Georges-Nigremont;200067593;D23;R75;0;0;1;3;1;4;14;7;26;6;;0;1;2;6;6;6;14;17;22;7
23199;Saint-Germain-Beaupré;242300135;D23;R75;1;3;2;13;4;21;33;38;34;21;;4;8;10;12;9;26;29;35;43;15
23200;Saint-Goussaud;242320000;D23;R75;0;0;3;3;0;10;15;14;23;13;;3;1;5;4;0;8;15;14;25;10
23201;Saint-Hilaire-la-Plaine;200067189;D23;R75;2;3;3;8;5;17;25;8;22;6;;7;3;2;14;3;17;24;20;21;3
23202;Saint-Hilaire-le-Château;200067189;D23;R75;0;1;2;9;3;15;19;21;18;12;;4;4;6;9;3;16;34;23;21;7
23203;Saint-Julien-la-Genête;200067544;D23;R75;1;4;8;8;3;13;22;25;13;12;;2;3;6;6;4;10;25;23;22;8
23204;Saint-Julien-le-Châtel;200067544;D23;R75;1;0;2;2;3;12;15;6;18;7;;1;3;4;5;7;8;14;12;11;10
23205;Saint-Junien-la-Bregère;200067189;D23;R75;1;2;4;3;0;8;11;10;29;5;;1;2;2;4;2;8;10;15;21;6
23206;Saint-Laurent;200034825;D23;R75;9;13;28;26;13;56;66;64;49;20;;12;16;24;22;20;54;70;59;51;19
23207;Saint-Léger-Bridereix;242300135;D23;R75;1;1;3;7;2;4;20;20;16;6;;1;0;6;10;1;12;25;25;19;6
23208;Saint-Léger-le-Guérétois;200034825;D23;R75;6;2;9;18;7;26;32;35;46;9;;4;5;16;15;11;27;43;37;50;9
23209;Saint-Loup;200067544;D23;R75;1;2;2;2;2;10;17;13;22;12;;0;3;2;11;6;9;23;14;24;8
23210;Saint-Maixant;200044014;D23;R75;5;3;9;16;4;13;34;16;23;15;;2;7;2;9;5;16;35;17;18;7
23211;Saint-Marc-à-Frongier;200044014;D23;R75;2;7;15;15;9;23;48;41;36;17;;2;5;10;24;10;27;44;33;43;15
23212;Saint-Marc-à-Loubaud;200044014;D23;R75;1;0;2;5;4;6;14;14;9;5;;1;0;3;6;4;8;13;14;13;3
23213;Saint-Marien;200067544;D23;R75;1;2;4;3;2;12;13;20;15;8;;3;3;6;10;2;18;15;23;18;8
23214;Saint-Martial-le-Mont;200067189;D23;R75;4;4;6;13;7;13;22;26;27;13;;3;2;10;16;4;19;26;23;24;8
23215;Saint-Martial-le-Vieux;200066744;D23;R75;3;2;4;3;2;12;11;14;14;5;;2;3;7;7;2;6;18;10;16;3
23216;Saint-Martin-Château;200067189;D23;R75;0;1;2;7;0;7;12;13;19;7;;1;2;5;10;1;4;14;16;21;5
23217;Saint-Martin-Sainte-Catherine;200067189;D23;R75;3;5;10;12;3;17;24;32;40;25;;5;1;11;7;11;13;36;34;34;15
23218;Saint-Maurice-près-Crocq;200067593;D23;R75;1;0;1;4;1;3;8;11;12;7;;0;2;1;5;1;9;8;13;9;4
23219;Saint-Maurice-la-Souterraine;242300135;D23;R75;10;16;38;59;29;85;132;91;114;40;;7;15;36;57;35;75;124;90;104;32
23220;Saint-Médard-la-Rochette;200067593;D23;R75;6;3;15;23;11;32;47;50;61;33;;4;6;14;29;11;27;55;48;60;24
23221;Saint-Merd-la-Breuille;200066744;D23;R75;0;1;5;5;4;8;19;20;23;15;;0;3;7;3;2;9;20;24;23;2
23222;Saint-Michel-de-Veisse;200067189;D23;R75;0;3;3;6;5;10;19;14;21;6;;0;1;5;7;3;7;20;15;18;3
23223;Saint-Moreil;200067189;D23;R75;3;1;7;12;3;10;18;23;18;22;;5;3;3;9;1;14;15;17;25;6
23224;Saint-Oradoux-de-Chirouze;200066744;D23;R75;0;0;2;2;1;4;7;5;9;5;;0;2;0;2;1;3;6;9;11;3
23225;Saint-Oradoux-près-Crocq;200067593;D23;R75;1;4;0;1;2;8;9;11;10;5;;1;1;4;6;1;5;11;12;11;4
23226;Saint-Pardoux-d'Arnet;200067593;D23;R75;4;2;6;9;6;11;12;14;19;7;;2;3;3;7;2;13;18;7;17;7
23227;Saint-Pardoux-Morterolles;200067189;D23;R75;3;0;0;6;4;10;14;18;28;12;;1;2;6;9;4;15;20;19;27;6
23228;Saint-Pardoux-le-Neuf;200044014;D23;R75;3;1;6;8;3;14;17;15;17;7;;5;3;5;12;4;18;19;17;16;6
23229;Saint-Pardoux-les-Cards;200067593;D23;R75;3;2;2;4;10;19;25;27;33;18;;6;3;6;5;6;19;24;31;35;5
23230;Saint-Pierre-Chérignat;200067189;D23;R75;1;0;4;4;0;8;18;19;19;5;;1;4;3;4;1;16;15;16;26;1
23232;Saint-Pierre-Bellevue;200067189;D23;R75;2;2;3;6;2;10;21;17;28;10;;1;6;7;9;5;12;13;21;23;12
23233;Saint-Pierre-le-Bost;200067544;D23;R75;0;1;1;3;3;5;6;17;15;11;;2;1;3;3;3;9;10;8;14;7
23234;Saint-Priest;200067593;D23;R75;0;2;2;6;1;11;9;10;18;10;;1;3;4;5;5;12;15;12;14;10
23235;Saint-Priest-la-Feuille;242300135;D23;R75;16;12;12;36;15;66;79;60;65;31;;6;14;26;27;16;50;85;56;63;22
23236;Saint-Priest-la-Plaine;242320000;D23;R75;4;5;6;6;6;18;16;20;29;15;;4;5;4;11;7;20;21;23;19;16
23237;Saint-Priest-Palus;200067189;D23;R75;2;0;1;1;1;3;5;4;9;3;;0;0;1;1;0;4;4;3;8;5
23238;Saint-Quentin-la-Chabanne;200044014;D23;R75;3;3;8;16;8;23;33;39;39;8;;6;4;9;12;7;28;39;31;42;18
23239;Saint-Sébastien;242320109;D23;R75;6;3;14;27;9;31;52;65;81;50;;5;5;11;22;8;34;52;51;84;25
23240;Saint-Silvain-Bas-le-Roc;200067544;D23;R75;6;3;6;12;9;25;31;43;44;23;;7;4;7;7;13;30;28;40;53;18
23241;Saint-Silvain-Bellegarde;200067593;D23;R75;4;3;7;6;5;20;15;20;24;7;;4;1;4;7;2;15;25;22;22;4
23242;Saint-Silvain-Montaigut;200034825;D23;R75;3;4;9;6;1;20;12;14;23;10;;6;3;3;8;1;11;28;23;20;8
23243;Saint-Silvain-sous-Toulx;200067544;D23;R75;1;0;5;3;1;8;12;11;20;8;;2;4;3;5;1;10;14;12;20;8
23244;Saint-Sulpice-le-Dunois;242320109;D23;R75;7;4;21;21;3;31;56;57;64;31;;2;3;20;18;13;34;52;57;64;19
23245;Saint-Sulpice-le-Guérétois;200034825;D23;R75;24;32;51;63;33;135;208;177;177;68;;26;25;56;68;51;153;204;170;154;48
23246;Saint-Sulpice-les-Champs;200044014;D23;R75;5;4;5;11;8;28;30;32;40;21;;3;3;3;10;8;28;31;26;35;17
23247;Saint-Vaury;200034825;D23;R75;20;21;51;65;33;128;169;129;180;79;;20;31;41;69;69;129;160;128;161;53
23248;Saint-Victor-en-Marche;200034825;D23;R75;8;5;7;14;8;29;38;27;25;13;;7;7;14;11;13;27;38;33;29;3
23249;Saint-Yrieix-la-Montagne;200044014;D23;R75;2;2;7;9;5;11;14;22;29;11;;0;3;0;9;6;18;9;24;31;8
23250;Saint-Yrieix-les-Bois;200034825;D23;R75;6;2;10;14;3;22;32;20;25;9;;2;8;5;16;6;18;36;19;31;7
23251;Tardes;200067544;D23;R75;2;0;2;8;1;7;17;5;11;5;;0;2;2;5;6;7;15;11;8;6
23252;Tercillat;200041556;D23;R75;1;1;1;3;3;5;10;10;34;7;;0;2;1;3;1;9;9;19;31;5
23253;Thauron;200067189;D23;R75;2;3;10;6;3;8;22;17;13;12;;0;1;5;10;4;7;19;13;12;7
23254;Toulx-Sainte-Croix;200067544;D23;R75;2;4;7;6;2;9;18;24;31;17;;4;2;6;5;2;10;27;30;32;12
23255;Trois-Fonds;200067544;D23;R75;1;1;3;9;1;11;11;7;10;6;;0;2;4;5;4;12;11;10;9;3
23257;Vallière;200044014;D23;R75;8;3;15;15;16;44;57;71;88;46;;13;8;13;24;16;48;61;68;80;22
23258;Vareilles;242300135;D23;R75;2;6;9;5;8;22;29;27;28;11;;4;4;12;13;10;18;30;26;29;12
23259;Verneiges;200067544;D23;R75;2;3;7;6;2;8;16;4;12;2;;3;1;6;4;3;6;17;6;10;2
23260;Vidaillat;200067189;D23;R75;4;0;4;9;4;6;19;10;18;12;;2;3;4;8;11;8;18;20;18;13
23261;Viersat;200067544;D23;R75;3;4;9;7;6;16;23;26;22;22;;3;2;6;10;8;20;30;30;23;10
23262;Vigeville;200067544;D23;R75;5;2;6;7;3;15;20;8;14;3;;1;3;4;9;3;18;17;7;17;2
23263;Villard;242320109;D23;R75;3;2;12;19;4;24;33;18;49;23;;3;6;14;21;11;17;44;22;43;10
23264;La Villedieu;200044014;D23;R75;1;0;0;0;1;3;6;3;6;5;;0;0;0;0;1;4;2;7;7;1
23265;La Villeneuve;200067593;D23;R75;0;0;0;1;0;2;3;8;7;5;;0;0;0;2;0;4;4;6;7;0
23266;La Villetelle;200044014;D23;R75;1;3;8;4;1;11;12;13;16;7;;0;5;11;7;3;8;19;16;15;9
24001;Abjat-sur-Bandiat;200071819;D24;R75;5;8;10;20;6;39;54;58;88;30;;9;3;11;25;8;48;53;46;82;25
24002;Agonac;200040392;D24;R75;21;31;52;83;35;129;184;149;145;114;;23;29;56;71;43;128;171;135;149;43
24004;Ajat;200041150;D24;R75;1;4;8;7;5;20;32;20;35;8;;3;3;5;11;10;20;32;30;24;7
24005;Alles-sur-Dordogne;200034833;D24;R75;2;6;13;20;7;24;37;29;32;28;;5;7;12;8;6;22;43;30;38;19
24006;Allas-les-Mines;200041051;D24;R75;1;3;6;10;4;15;13;17;22;12;;0;0;8;7;7;11;18;15;20;7
24007;Allemans;200040400;D24;R75;6;4;10;15;8;30;39;58;63;30;;8;4;9;13;12;33;32;56;64;18
24008;Angoisse;242401024;D24;R75;6;10;20;28;16;47;57;41;49;30;;6;8;15;19;18;44;65;41;46;22
24009;Anlhiac;242401024;D24;R75;0;0;5;10;4;9;30;31;31;18;;1;2;5;14;5;8;30;30;24;8
24010;Annesse-et-Beaulieu;200040392;D24;R75;14;13;34;55;33;86;167;117;143;76;;17;21;25;44;29;100;141;108;148;39
24011;Antonne-et-Trigonant;200040392;D24;R75;18;13;31;62;22;100;122;99;107;113;;13;17;27;41;29;90;134;90;115;52
24012;Archignac;200040830;D24;R75;9;5;10;19;9;25;48;29;32;10;;5;6;12;19;8;26;46;26;37;10
24014;Aubas;200041168;D24;R75;5;9;26;28;5;42;73;48;60;20;;7;11;18;24;20;38;73;44;57;10
24015;Audrix;200041168;D24;R75;5;4;3;9;7;17;30;22;27;12;;2;2;4;9;5;16;29;24;29;7
24016;Augignac;200071819;D24;R75;3;10;21;29;15;53;75;77;99;44;;10;10;18;26;16;43;88;75;89;23
24018;Auriac-du-Périgord;200041150;D24;R75;6;1;10;14;6;19;40;33;51;11;;3;4;9;14;12;29;36;40;51;12
24019;Azerat;200041150;D24;R75;7;5;17;21;8;36;42;35;38;19;;7;6;10;12;8;35;37;42;46;10
24020;La Bachellerie;200041150;D24;R75;9;15;32;40;7;62;91;71;92;38;;9;8;20;56;17;44;100;56;103;24
24021;Badefols-d'Ans;200041150;D24;R75;1;6;5;12;4;17;37;45;42;32;;5;3;6;5;12;16;42;33;48;16
24022;Badefols-sur-Dordogne;200034833;D24;R75;6;5;3;6;4;16;23;21;16;9;;1;3;7;9;8;17;14;13;17;12
24023;Baneuil;200034833;D24;R75;0;1;7;15;1;18;39;28;36;14;;1;7;6;14;5;18;38;31;31;14
24024;Bardou;200040889;D24;R75;2;0;1;3;1;2;4;4;3;2;;0;0;1;5;3;0;4;2;3;3
24025;Bars;200041150;D24;R75;4;1;4;11;3;17;30;16;19;9;;3;5;6;6;5;17;25;28;23;6
